sim, sum_prog, err_prog
1, 1, 0
2, 1.1588, 0.158796
3, 1.31024, 0.177031
4, 1.44512, 0.184017
5, 1.56974, 0.189338
6, 1.68508, 0.192877
7, 1.7934, 0.195719
8, 1.89518, 0.197708
9, 1.99158, 0.199239
10, 2.08298, 0.200277
11, 2.17045, 0.201167
12, 2.25355, 0.201568
13, 2.33354, 0.201934
14, 2.41101, 0.20237
15, 2.48594, 0.202748
16, 2.55859, 0.203093
17, 2.62938, 0.203485
18, 2.69835, 0.203868
19, 2.76557, 0.204218
20, 2.83122, 0.204561
21, 2.89589, 0.205042
22, 2.95939, 0.205552
23, 3.02176, 0.206077
24, 3.08296, 0.206577
25, 3.14266, 0.20694
26, 3.20121, 0.207263
27, 3.2585, 0.207506
28, 3.31498, 0.207781
29, 3.37058, 0.208056
30, 3.42523, 0.208296
31, 3.47894, 0.208502
32, 3.53184, 0.208697
33, 3.58364, 0.208801
34, 3.63475, 0.208915
35, 3.68494, 0.208975
36, 3.7345, 0.209047
37, 3.78337, 0.209109
38, 3.83192, 0.209242
39, 3.87979, 0.209355
40, 3.9273, 0.20951
41, 3.97441, 0.209696
42, 4.02101, 0.209882
43, 4.067, 0.210041
44, 4.11241, 0.210174
45, 4.15729, 0.210296
46, 4.20135, 0.21034
47, 4.24503, 0.2104
48, 4.28842, 0.21049
49, 4.33123, 0.210549
50, 4.37386, 0.210652
51, 4.41629, 0.210796
52, 4.45832, 0.210932
53, 4.4999, 0.21105
54, 4.54109, 0.211162
55, 4.58179, 0.211245
56, 4.62216, 0.21133
57, 4.66222, 0.211418
58, 4.70184, 0.211485
59, 4.74115, 0.211555
60, 4.78017, 0.211629
61, 4.81874, 0.211672
62, 4.85708, 0.211732
63, 4.89497, 0.211762
64, 4.93262, 0.211798
65, 4.97003, 0.211844
66, 5.00728, 0.211909
67, 5.04421, 0.211965
68, 5.08083, 0.212011
69, 5.11741, 0.212094
70, 5.15369, 0.212168
71, 5.18965, 0.212226
72, 5.22533, 0.212278
73, 5.26084, 0.21234
74, 5.29603, 0.212387
75, 5.33102, 0.212437
76, 5.36566, 0.212466
77, 5.40009, 0.212497
78, 5.43424, 0.212517
79, 5.4682, 0.21254
80, 5.50187, 0.212549
81, 5.53551, 0.212588
82, 5.56891, 0.212618
83, 5.6021, 0.212648
84, 5.63505, 0.212669
85, 5.6678, 0.212689
86, 5.70037, 0.21271
87, 5.73267, 0.212716
88, 5.76473, 0.212715
89, 5.79656, 0.212706
90, 5.82827, 0.212706
91, 5.8598, 0.212706
92, 5.89117, 0.212708
93, 5.92248, 0.212724
94, 5.95369, 0.212751
95, 5.98467, 0.212768
96, 6.01548, 0.212782
97, 6.04606, 0.212786
98, 6.07634, 0.212769
99, 6.1065, 0.212758
100, 6.13656, 0.212753
