prize, sum_prog, err_prog
1, 286.056, 0
2, 286.063, 0.00611684
3, 286.043, 0.0196922
4, 286.017, 0.0294971
5, 285.988, 0.0368004
6, 286.002, 0.0328752
7, 286.023, 0.0349271
8, 286.018, 0.0305641
9, 286.021, 0.0271115
10, 286.02, 0.0243169
11, 286.018, 0.0220738
12, 286.018, 0.0201544
13, 286.012, 0.0194699
14, 286.02, 0.0194724
15, 286.032, 0.0218198
16, 286.033, 0.0204552
17, 286.026, 0.0203375
18, 286.016, 0.0216511
19, 285.997, 0.0284506
20, 285.983, 0.0300886
21, 285.974, 0.0301696
22, 285.972, 0.028794
23, 285.971, 0.0275494
24, 285.966, 0.0269206
25, 285.956, 0.0275192
26, 285.94, 0.0310047
27, 285.927, 0.0326691
28, 285.917, 0.0330226
29, 285.908, 0.0330464
30, 285.903, 0.0323607
31, 285.906, 0.0315409
32, 285.907, 0.0305411
33, 285.903, 0.0297995
34, 285.9, 0.0291491
35, 285.897, 0.0284577
36, 285.895, 0.0276934
37, 285.896, 0.0269376
38, 285.898, 0.0263683
39, 285.898, 0.0256853
40, 285.894, 0.0254178
41, 285.887, 0.0257184
42, 285.88, 0.0260171
43, 285.871, 0.0268825
44, 285.863, 0.0275205
45, 285.853, 0.0287072
46, 285.839, 0.0313466
47, 285.821, 0.0357804
48, 285.806, 0.0381024
49, 285.792, 0.0399112
50, 285.776, 0.0419187
51, 285.759, 0.04477
52, 285.74, 0.047678
53, 285.725, 0.0491338
54, 285.71, 0.0504339
55, 285.697, 0.0511665
56, 285.685, 0.0516921
57, 285.676, 0.0515438
58, 285.668, 0.0512531
59, 285.662, 0.0508174
60, 285.654, 0.0504951
61, 285.646, 0.0503795
62, 285.635, 0.0507388
63, 285.624, 0.0511491
64, 285.614, 0.0512903
65, 285.602, 0.051995
66, 285.59, 0.0526267
67, 285.579, 0.0530036
68, 285.563, 0.0543492
69, 285.547, 0.0560671
70, 285.533, 0.0570108
71, 285.522, 0.0573096
72, 285.514, 0.0570384
73, 285.506, 0.0568155
74, 285.495, 0.0570598
75, 285.483, 0.0575291
76, 285.469, 0.0584405
77, 285.452, 0.0601038
78, 285.438, 0.0611881
79, 285.424, 0.0619111
80, 285.408, 0.063097
81, 285.394, 0.0640205
82, 285.38, 0.0646018
83, 285.371, 0.0644594
84, 285.366, 0.0639516
85, 285.36, 0.0634637
86, 285.353, 0.0631202
87, 285.345, 0.0628103
88, 285.337, 0.0626677
89, 285.327, 0.062711
90, 285.318, 0.062654
91, 285.309, 0.0626327
92, 285.301, 0.0624401
93, 285.294, 0.0621874
94, 285.289, 0.0617369
95, 285.282, 0.0614576
96, 285.276, 0.06115
97, 285.27, 0.0608266
98, 285.261, 0.0608232
99, 285.254, 0.0606102
100, 285.247, 0.0604239
