block, sum_prog, err_prog
1, 1.36735, 0
2, 1.56954, 0.942767
3, 1.5437, 0.56842
4, 1.5804, 0.432801
5, 1.53147, 0.330622
6, 1.49175, 0.272693
7, 1.48844, 0.231227
8, 1.53482, 0.207874
9, 1.55963, 0.185253
10, 1.55448, 0.167808
11, 1.5253, 0.154333
12, 1.506, 0.141899
13, 1.52465, 0.130384
14, 1.53602, 0.120456
15, 1.53208, 0.111127
16, 1.50938, 0.105729
17, 1.51981, 0.1006
18, 1.53069, 0.0954074
19, 1.55294, 0.0933262
20, 1.56285, 0.0900132
21, 1.57049, 0.0856432
22, 1.56447, 0.0819291
23, 1.54794, 0.0796503
24, 1.55026, 0.0763953
25, 1.5439, 0.0739288
26, 1.54644, 0.0710699
27, 1.54006, 0.0684434
28, 1.5309, 0.0663194
29, 1.54142, 0.0649143
30, 1.5354, 0.0630074
31, 1.53214, 0.0613768
32, 1.52862, 0.0596802
33, 1.5283, 0.0578647
34, 1.52028, 0.0565238
35, 1.52374, 0.0550076
36, 1.51337, 0.0547712
37, 1.51377, 0.0533801
38, 1.50953, 0.0521256
39, 1.50968, 0.0508084
40, 1.50611, 0.0496514
41, 1.50531, 0.0485505
42, 1.50495, 0.0473919
43, 1.50557, 0.0462703
44, 1.50531, 0.045277
45, 1.51084, 0.0448083
46, 1.51656, 0.044126
47, 1.51522, 0.0431572
48, 1.50978, 0.0425873
49, 1.50782, 0.0417275
50, 1.50797, 0.0409445
51, 1.50712, 0.040179
52, 1.51316, 0.0398077
53, 1.51508, 0.0390457
54, 1.50992, 0.038682
55, 1.50557, 0.0381793
56, 1.50134, 0.0377987
57, 1.5018, 0.0370808
58, 1.50671, 0.0367117
59, 1.50788, 0.0361406
60, 1.51022, 0.0356401
61, 1.51655, 0.0355637
62, 1.51797, 0.0350303
63, 1.5147, 0.0347184
64, 1.51257, 0.0342605
65, 1.51991, 0.0345139
66, 1.51621, 0.0342198
67, 1.51347, 0.0338328
68, 1.51342, 0.0333279
69, 1.51523, 0.0329526
70, 1.51518, 0.0324597
71, 1.51693, 0.0320054
72, 1.51345, 0.0317195
73, 1.51319, 0.031294
74, 1.51149, 0.0309037
75, 1.51154, 0.0304999
76, 1.5122, 0.0301033
77, 1.51345, 0.0297356
78, 1.51423, 0.0293508
79, 1.51251, 0.0290193
80, 1.5133, 0.0286392
81, 1.51094, 0.0283752
82, 1.51294, 0.028093
83, 1.51111, 0.027825
84, 1.51088, 0.0274814
85, 1.50983, 0.0271883
86, 1.50838, 0.0269045
87, 1.5062, 0.0266849
88, 1.50791, 0.0264423
89, 1.50763, 0.0261219
90, 1.51327, 0.0264318
91, 1.51514, 0.0261911
92, 1.51484, 0.025918
93, 1.51606, 0.0256671
94, 1.51495, 0.025412
95, 1.51337, 0.0251848
96, 1.51488, 0.0249772
97, 1.51735, 0.0248316
98, 1.51943, 0.0246681
99, 1.51843, 0.0244826
100, 1.51795, 0.0242544
